ep_number,video_id,video_url,title,speaker,subtitle_mode,lang,txt_path
322,w_-eskpHMoM,https://www.youtube.com/watch?v=w_-eskpHMoM,"Ater, ferramentas digitais e agricultura familiar: quem controla quem?","Carlos Mário Guedes de Guedes",auto,pt,"downloads/oextensionista/#322 - Ater, ferramentas digitais e agricultura familiar- quem controla quem- {Carlos Mário Guedes de Guedes}.txt"
323,eeF78CXsv74,https://www.youtube.com/watch?v=eeF78CXsv74,"A Agroecologia e o conhecimento na Agricultura Familiar","João Carlos Costa Gomes – Embrapa Clima Temperado",auto,pt,"downloads/oextensionista/#323 - A Agroecologia e o conhecimento na Agricultura Familiar {João Carlos Costa Gomes – Embrapa Clima Temperado}.txt"
324,HAFRGBnwd7E,https://www.youtube.com/watch?v=HAFRGBnwd7E,"Painel final - Viticultura e Fruticultura","O Extensionista",auto,pt,"downloads/oextensionista/#324 - Painel final - Viticultura e Fruticultura {O Extensionista}.txt"
325,h25V5-DHJgQ,https://www.youtube.com/watch?v=h25V5-DHJgQ,"Fruticultura e Viticultura - Manejo Biológico","O Extensionista",auto,pt,"downloads/oextensionista/#325 - Fruticultura e Viticultura - Manejo Biológico {O Extensionista}.txt"
326,CVndzvX8RxY,https://www.youtube.com/watch?v=CVndzvX8RxY,"Viticultura e Fruticultura - 2 PARTE manhã","O Extensionista",auto,pt,"downloads/oextensionista/#326 - Viticultura e Fruticultura - 2 PARTE manhã {O Extensionista}.txt"
327,pAp2Jx0u8lA,https://www.youtube.com/watch?v=pAp2Jx0u8lA,"Debate do Painel Fruticultura e Viticultura no Bioma Pampa","O Extensionista",auto,pt,"downloads/oextensionista/#327 - Debate do Painel Fruticultura e Viticultura no Bioma Pampa {O Extensionista}.txt"
328,BDlHnosnGNU,https://www.youtube.com/watch?v=BDlHnosnGNU,"Gustavo Brunetto - Fruticultura","O Extensionista",auto,pt,"downloads/oextensionista/#328 - Gustavo Brunetto - Fruticultura {O Extensionista}.txt"
329,xDrapX3gmEk,https://www.youtube.com/watch?v=xDrapX3gmEk,"2 dia - Viticultura e Fruticultura","O Extensionista",auto,pt,"downloads/oextensionista/#329 - 2 dia - Viticultura e Fruticultura {O Extensionista}.txt"
330,kRPiAm_qJE4,https://www.youtube.com/watch?v=kRPiAm_qJE4,"Debate final - 1 dia Viticultura e Fruticultura","O Extensionista",auto,pt,"downloads/oextensionista/#330 - Debate final - 1 dia Viticultura e Fruticultura {O Extensionista}.txt"
331,BYYxrpfvBzs,https://www.youtube.com/watch?v=BYYxrpfvBzs,"Viticultura e Fruticultura -  última do dia","O Extensionista",auto,pt,"downloads/oextensionista/#331 - Viticultura e Fruticultura - última do dia {O Extensionista}.txt"
332,nIshFZ5jYok,https://www.youtube.com/watch?v=nIshFZ5jYok,"Debate Fruticultura- parte 2 tarde","O Extensionista",auto,pt,"downloads/oextensionista/#332 - Debate Fruticultura- parte 2 tarde {O Extensionista}.txt"
